n_value,model_id,matrix_model,classical_algorithm,output_contract,tolerance,condition_number,work_proxy_ops,memory_proxy_bytes,comparison_role,notes
20000,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,5333333333333.333,3200000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
20000,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,1020000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,1920000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,2760000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,3180000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,6000000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,8760000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,10080000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,18840000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
20000,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,27540000.0,960000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
